도시,년,월,일,계절,날씨,기온,풍속,강수량
삿포로,2012,6,5,여름,맑음,19,2.4,0
삿포로,2012,6,6,여름,비,18,3.1,7
삿포로,2012,6,7,여름,비,17.4,2.3,13.5
삿포로,2012,6,8,여름,맑음,18.1,3,0
삿포로,2012,6,9,여름,흐림,17.4,6.2,0
삿포로,2012,6,10,여름,흐림,18.4,3.6,0
삿포로,2012,6,11,여름,흐림,17,3.8,0
삿포로,2012,6,12,여름,맑음,15,5.3,0
삿포로,2012,6,13,여름,흐림,13.3,4.7,0
삿포로,2012,6,14,여름,맑음,13.6,3.2,0
삿포로,2012,6,15,여름,맑음,16.1,2.1,0
삿포로,2012,6,16,여름,다소흐림,16.4,5.8,0
삿포로,2012,6,17,여름,비,16.4,3.2,16
삿포로,2012,6,18,여름,흐림,17.4,3.6,0
삿포로,2012,6,19,여름,흐림,17.5,5.8,0
삿포로,2012,6,20,여름,비,15.1,4.1,11.5
삿포로,2012,6,21,여름,흐림,15.8,2.3,0
삿포로,2012,6,22,여름,비,14.3,1.9,2
삿포로,2012,6,23,여름,흐림,15.3,3.2,1
삿포로,2012,6,24,여름,맑음,16.8,3.3,0
삿포로,2012,6,25,여름,쾌청,18,2.3,0
삿포로,2012,6,26,여름,쾌청,19,1.9,0
삿포로,2012,6,27,여름,쾌청,20.1,2.4,0
삿포로,2012,6,28,여름,쾌청,21.7,2.4,0
삿포로,2012,6,29,여름,쾌청,22.1,1.8,0
삿포로,2012,6,30,여름,쾌청,22.3,4.5,0
삿포로,2012,7,1,여름,흐림,21.5,8.2,0
삿포로,2012,7,2,여름,비,21.1,6,0
삿포로,2012,7,3,여름,다소흐림,21.7,3.5,0
삿포로,2012,7,4,여름,맑음,20.9,2,0
삿포로,2012,7,5,여름,비,21.1,1.9,15
삿포로,2012,7,6,여름,맑음,21.1,3,0
삿포로,2012,7,7,여름,맑음,21.8,2.7,0
삿포로,2012,7,8,여름,맑음,21.1,2,0.5
삿포로,2012,7,9,여름,흐림,19.7,2.5,2.5
삿포로,2012,7,10,여름,흐림,19.3,3.2,0
삿포로,2012,7,11,여름,다소흐림,22.2,2.9,0.5
삿포로,2012,7,12,여름,비,19.9,3.4,63
삿포로,2012,7,13,여름,맑음,21.6,4.1,0
삿포로,2012,7,14,여름,비,16.8,4.4,0
삿포로,2012,7,15,여름,맑음,19,2.2,0
삿포로,2012,7,16,여름,다소흐림,20,2.6,0
삿포로,2012,7,17,여름,쾌청,21,3.2,0
삿포로,2012,7,18,여름,맑음,22.8,3.2,0
삿포로,2012,7,19,여름,맑음,20.4,4.2,0
삿포로,2012,7,20,여름,쾌청,19.8,3,0
삿포로,2012,7,21,여름,맑음,20,2.3,0
삿포로,2012,7,22,여름,흐림,20.1,2.3,0
삿포로,2012,7,23,여름,쾌청,20.4,3.3,0
삿포로,2012,7,24,여름,흐림,22.2,3.2,0
삿포로,2012,7,25,여름,흐림,23.7,3.2,0
삿포로,2012,7,26,여름,맑음,23.4,2.5,0
삿포로,2012,7,27,여름,다소흐림,27.1,3.7,0
삿포로,2012,7,28,여름,흐림,26.6,3.2,0
삿포로,2012,7,29,여름,다소흐림,24.5,2.5,0
삿포로,2012,7,30,여름,맑음,27,3.7,0
삿포로,2012,7,31,여름,흐림,26.5,3,0
삿포로,2012,8,1,여름,흐림,22.6,2.8,15.5
삿포로,2012,8,2,여름,흐림,20,4.2,0
삿포로,2012,8,3,여름,맑음,21.6,2.8,0
삿포로,2012,8,4,여름,흐림,20.9,5.5,0
삿포로,2012,8,5,여름,비,22.1,2,5.5
삿포로,2012,8,6,여름,흐림,21.4,4,2.5
삿포로,2012,8,7,여름,쾌청,19.9,5.4,0
삿포로,2012,8,8,여름,쾌청,21.1,3.4,0
삿포로,2012,8,9,여름,쾌청,23.7,4.3,0
삿포로,2012,8,10,여름,흐림,23.1,2,9
삿포로,2012,8,11,여름,흐림,23.6,1.8,0
삿포로,2012,8,12,여름,흐림,24,3.7,0
삿포로,2012,8,13,여름,비,22.1,2.9,13.5
삿포로,2012,8,14,여름,쾌청,22.3,3.2,0
삿포로,2012,8,15,여름,다소흐림,22,5.2,0
삿포로,2012,8,16,여름,비,21.4,4.9,34
삿포로,2012,8,17,여름,흐림,21.4,1.4,1
삿포로,2012,8,18,여름,흐림,22.7,1.5,0
삿포로,2012,8,19,여름,흐림,24,4.9,0
삿포로,2012,8,20,여름,흐림,24.8,2.4,34
삿포로,2012,8,21,여름,맑음,27.9,3.5,0
삿포로,2012,8,22,여름,맑음,27,4.7,0
삿포로,2012,8,23,여름,흐림,22.8,3.5,6
삿포로,2012,8,24,여름,비,23,1.3,0
삿포로,2012,8,25,여름,쾌청,24.7,2.2,0
삿포로,2012,8,26,여름,비,26.1,2.5,0
삿포로,2012,8,27,여름,맑음,25.4,2.7,0
삿포로,2012,8,28,여름,다소흐림,25,2.2,0
삿포로,2012,8,29,여름,흐림,25.3,6.6,0
삿포로,2012,8,30,여름,맑음,28,4.6,0
삿포로,2012,8,31,여름,흐림,24.8,2.1,0
삿포로,2012,9,1,가을,맑음,26.1,4.6,0
삿포로,2012,9,2,가을,맑음,25.4,4.7,0
삿포로,2012,9,3,가을,쾌청,26.6,4.9,0
삿포로,2012,9,4,가을,맑음,26.2,5.5,31.5
삿포로,2012,9,5,가을,맑음,25.1,4.7,0
삿포로,2012,9,6,가을,비,23.2,3.9,0
삿포로,2012,9,7,가을,쾌청,23.1,1.6,0
삿포로,2012,9,8,가을,맑음,23.4,2.3,0
삿포로,2012,9,9,가을,비,21.7,4.3,106
삿포로,2012,9,10,가을,흐림,22.1,1.7,3
삿포로,2012,9,11,가을,흐림,21.8,1.1,23
삿포로,2012,9,12,가을,맑음,23.8,1.7,0.5
삿포로,2012,9,13,가을,흐림,23.4,2.5,0
삿포로,2012,9,14,가을,맑음,24.5,2,0
삿포로,2012,9,15,가을,다소흐림,25.4,3.4,0
삿포로,2012,9,16,가을,흐림,22.6,3.1,3.5
삿포로,2012,9,17,가을,비,24.1,4.2,0
삿포로,2012,9,18,가을,맑음,26.7,5.5,0
삿포로,2012,9,19,가을,비,25.6,3.6,4.5
삿포로,2012,9,20,가을,맑음,21.8,3.1,0
삿포로,2012,9,21,가을,다소흐림,20.3,1.8,0
삿포로,2012,9,22,가을,다소흐림,19.9,1.7,0
삿포로,2012,9,23,가을,맑음,19.5,1.9,0
삿포로,2012,9,24,가을,흐림,19.2,1.9,0
삿포로,2012,9,25,가을,비,16.3,3.7,12.5
삿포로,2012,9,26,가을,비,16.9,2.1,5.5
삿포로,2012,9,27,가을,흐림,17.4,3.4,0
삿포로,2012,9,28,가을,맑음,18.5,4.4,0
삿포로,2012,9,29,가을,맑음,20.8,4.3,0
삿포로,2012,9,30,가을,흐림,20.2,2.7,1
삿포로,2012,10,1,가을,흐림,18.1,4,17.5
삿포로,2012,10,2,가을,맑음,17.9,1.8,0.5
삿포로,2012,10,3,가을,흐림,17.1,1.9,0
삿포로,2012,10,4,가을,맑음,16.6,1.5,0
삿포로,2012,10,5,가을,흐림,16.2,1.8,0
삿포로,2012,10,6,가을,다소흐림,16.3,2.7,2
삿포로,2012,10,7,가을,맑음,15.2,4.2,0
삿포로,2012,10,8,가을,쾌청,14.4,1.8,0
삿포로,2012,10,9,가을,맑음,14.4,1.7,0
삿포로,2012,10,10,가을,흐림,14.3,4,0
삿포로,2012,10,11,가을,비,13.6,4.3,9.5
삿포로,2012,10,12,가을,흐림,13.5,1.9,0
삿포로,2012,10,13,가을,맑음,13.2,2.5,5
삿포로,2012,10,14,가을,맑음,14.3,4.2,10.5
삿포로,2012,10,15,가을,맑음,12.9,3.1,1
삿포로,2012,10,16,가을,맑음,13,3.3,0
삿포로,2012,10,17,가을,흐림,13.8,4.3,10
삿포로,2012,10,18,가을,맑음,11.2,4.1,0
삿포로,2012,10,19,가을,맑음,9.3,3.4,1
삿포로,2012,10,20,가을,비,12,3.3,1
삿포로,2012,10,21,가을,흐림,9.1,4.5,5
삿포로,2012,10,22,가을,다소흐림,10.4,3.6,0.5
삿포로,2012,10,23,가을,비,13.7,6.8,12.5
삿포로,2012,10,24,가을,비,8.9,5.6,2
삿포로,2012,10,25,가을,맑음,9.4,3.1,0.5
삿포로,2012,10,26,가을,맑음,10.7,4.1,3.5
삿포로,2012,10,27,가을,쾌청,10.4,3.7,0
삿포로,2012,10,28,가을,비,11.1,8.9,9.5
삿포로,2012,10,29,가을,흐림,13.2,4,18.5
삿포로,2012,10,30,가을,흐림,9.3,2,2
삿포로,2012,10,31,가을,맑음,8.3,3.7,3
삿포로,2012,11,1,가을,흐림,8.6,1.5,17
삿포로,2012,11,2,가을,비,9.1,5.1,15.5
삿포로,2012,11,3,가을,흐림,8.6,5.8,11.5
삿포로,2012,11,4,가을,비,8.6,7.6,18.5
삿포로,2012,11,5,가을,다소흐림,8,2.1,0
삿포로,2012,11,6,가을,흐림,10.9,5,5
삿포로,2012,11,7,가을,비,10.1,2.2,45
삿포로,2012,11,8,가을,쾌청,9.9,1.9,0
삿포로,2012,11,9,가을,흐림,9.8,2.8,2
삿포로,2012,11,10,가을,맑음,7.7,4,0.5
삿포로,2012,11,11,가을,맑음,7.2,3.2,0
삿포로,2012,11,12,가을,비,9.2,5.9,10
삿포로,2012,11,13,가을,다소흐림,9.9,3.3,0
삿포로,2012,11,14,가을,비,7.5,2.1,2
삿포로,2012,11,15,가을,맑음,5.8,3,0
삿포로,2012,11,16,가을,흐림,6.4,2.4,0
삿포로,2012,11,17,가을,비,6.7,2.4,9.5
삿포로,2012,11,18,가을,진눈깨비,3.3,6.5,40.5
삿포로,2012,11,19,가을,다소흐림,1.8,1.8,0
삿포로,2012,11,20,가을,흐림,2.1,1.8,0.5
삿포로,2012,11,21,가을,맑음,1.9,4.2,0
삿포로,2012,11,22,가을,다소흐림,3,1.6,1.5
삿포로,2012,11,23,가을,눈,0.6,3.6,6
삿포로,2012,11,24,가을,맑음,0.1,3.8,0
삿포로,2012,11,25,가을,다소흐림,1.8,3,0
삿포로,2012,11,26,가을,흐림,3.1,2.5,4.5
삿포로,2012,11,27,가을,눈,0.5,5.4,20.5
삿포로,2012,11,28,가을,쾌청,0.8,4.4,5.5
삿포로,2012,11,29,가을,눈,2.2,2.7,2.5
삿포로,2012,11,30,가을,눈,-0.8,1.6,1
삿포로,2012,12,1,겨울,맑음,-3.2,3.4,11.5
삿포로,2012,12,2,겨울,눈,-2,3,4
삿포로,2012,12,3,겨울,쾌청,1,3.5,0.5
삿포로,2012,12,4,겨울,비,5.2,5.9,22
삿포로,2012,12,5,겨울,맑음,0.4,2.9,1.5
삿포로,2012,12,6,겨울,진눈깨비,-0.3,4.3,12
삿포로,2012,12,7,겨울,눈,-4.3,2.8,1.5
삿포로,2012,12,8,겨울,흐림,-3.1,3.5,26
삿포로,2012,12,9,겨울,흐림,-2.1,2.7,0.5
삿포로,2012,12,10,겨울,흐림,1.5,3.1,0
삿포로,2012,12,11,겨울,눈,-1,2.3,16.5
삿포로,2012,12,12,겨울,눈,-1.4,1.8,28.5
삿포로,2012,12,13,겨울,맑음,-2.6,1.6,1.5
삿포로,2012,12,14,겨울,눈,-0.4,2.6,3
삿포로,2012,12,15,겨울,흐림,-0.6,2,1
삿포로,2012,12,16,겨울,진눈깨비,0.8,2.5,13.5
삿포로,2012,12,17,겨울,흐림,0.3,1.9,1
삿포로,2012,12,18,겨울,눈,-1.6,3.9,27
삿포로,2012,12,19,겨울,맑음,-4.7,2.9,1
삿포로,2012,12,20,겨울,맑음,-4.3,3.8,0
삿포로,2012,12,21,겨울,다소흐림,-1.5,3,0
삿포로,2012,12,22,겨울,눈,-1.1,3.8,4
삿포로,2012,12,23,겨울,쾌청,-5.1,3.4,4.5
삿포로,2012,12,24,겨울,눈,-7.9,1.6,4
삿포로,2012,12,25,겨울,다소흐림,-7.3,2.5,2.5
삿포로,2012,12,26,겨울,눈,-8.3,5.9,9.5
삿포로,2012,12,27,겨울,흐림,-8.4,4.9,1
삿포로,2012,12,28,겨울,눈,-5,3.3,0
삿포로,2012,12,29,겨울,맑음,-4.5,3.5,0
삿포로,2012,12,30,겨울,비,2,5.3,9
삿포로,2012,12,31,겨울,눈,-3,3.3,2
삿포로,2013,1,1,겨울,눈,-5.6,2,0.5
삿포로,2013,1,2,겨울,다소흐림,-4.3,3.1,2
삿포로,2013,1,3,겨울,쾌청,-6.4,5.2,0
삿포로,2013,1,4,겨울,맑음,-7.6,4.1,1
삿포로,2013,1,5,겨울,맑음,-4.2,3.1,0.5
삿포로,2013,1,6,겨울,흐림,-5.9,4.2,3
삿포로,2013,1,7,겨울,흐림,-7.1,3.4,0
삿포로,2013,1,8,겨울,쾌청,-7.3,2.8,0
삿포로,2013,1,9,겨울,맑음,-8.2,1.9,0
삿포로,2013,1,10,겨울,맑음,-6.6,3.1,0
삿포로,2013,1,11,겨울,흐림,-6.5,3.3,0
삿포로,2013,1,12,겨울,흐림,-4.5,2.3,0.5
삿포로,2013,1,13,겨울,맑음,-3.9,4.5,3.5
삿포로,2013,1,14,겨울,다소흐림,-5.3,1.6,0
삿포로,2013,1,15,겨울,우박,-7.1,3.2,8
삿포로,2013,1,16,겨울,맑음,-6.6,1.5,1
삿포로,2013,1,17,겨울,맑음,-8.3,1.6,6.5
삿포로,2013,1,18,겨울,맑음,-8,3.3,10.5
삿포로,2013,1,19,겨울,눈,-2.4,5.1,5.5
삿포로,2013,1,20,겨울,눈,-1.1,5.8,18
삿포로,2013,1,21,겨울,눈,-1.1,3.2,3.5
삿포로,2013,1,22,겨울,다소흐림,-2.7,1.4,0
삿포로,2013,1,23,겨울,쾌청,-3.9,1.3,2
삿포로,2013,1,24,겨울,다소흐림,-2.6,4.3,6.5
삿포로,2013,1,25,겨울,눈,-1,4.9,8.5
삿포로,2013,1,26,겨울,흐림,-4.9,3.2,0
삿포로,2013,1,27,겨울,눈,-2.3,6.8,4.5
삿포로,2013,1,28,겨울,다소흐림,-4.3,1.5,1
삿포로,2013,1,29,겨울,눈,-4.5,2.8,9
삿포로,2013,1,30,겨울,눈,-1,5.8,5.5
삿포로,2013,1,31,겨울,흐림,-0.8,1.5,0.5
삿포로,2013,2,1,겨울,흐림,1.7,4.4,0
삿포로,2013,2,2,겨울,맑음,1.2,5.9,1
삿포로,2013,2,3,겨울,눈,-5.8,5.2,0.5
삿포로,2013,2,4,겨울,흐림,-3.1,2.4,4
삿포로,2013,2,5,겨울,맑음,-4.9,6.1,6
삿포로,2013,2,6,겨울,흐림,-4.1,1.3,0
삿포로,2013,2,7,겨울,눈,-3.5,4.4,14.5
삿포로,2013,2,8,겨울,눈,-2.5,6.8,8.5
삿포로,2013,2,9,겨울,눈,-4.7,4.4,4.5
삿포로,2013,2,10,겨울,다소흐림,-5.8,1.7,0
삿포로,2013,2,11,겨울,눈,-6.1,1.6,0.5
삿포로,2013,2,12,겨울,눈,-6,1.9,0
삿포로,2013,2,13,겨울,쾌청,-3.8,1.8,0
삿포로,2013,2,14,겨울,눈,-2.4,1.3,7
삿포로,2013,2,15,겨울,맑음,-3.3,3,0.5
삿포로,2013,2,16,겨울,맑음,-5.7,2.8,16.5
삿포로,2013,2,17,겨울,눈,-5.9,3.2,10
삿포로,2013,2,18,겨울,눈,-5.3,2,6
삿포로,2013,2,19,겨울,눈,-4,2.3,3
삿포로,2013,2,20,겨울,흐림,-6.4,3.7,1
삿포로,2013,2,21,겨울,맑음,-5.4,4.1,6
삿포로,2013,2,22,겨울,눈,-5,2.3,0.5
삿포로,2013,2,23,겨울,쾌청,-5.3,3.3,0
삿포로,2013,2,24,겨울,눈,-6.9,2,10.5
삿포로,2013,2,25,겨울,맑음,-5.8,2.5,12
삿포로,2013,2,26,겨울,맑음,-3.4,2.8,0.5
삿포로,2013,2,27,겨울,다소흐림,-0.3,4.6,0
삿포로,2013,2,28,겨울,흐림,0.8,3.7,4
삿포로,2013,3,1,봄,눈,0.6,5.9,4.5
삿포로,2013,3,2,봄,눈,-0.8,9,11
삿포로,2013,3,3,봄,눈,-2.6,6.7,6
삿포로,2013,3,4,봄,눈,-2.7,2,1
삿포로,2013,3,5,봄,흐림,-0.6,1.7,0
삿포로,2013,3,6,봄,눈,0.3,4.2,8.5
삿포로,2013,3,7,봄,흐림,0.6,5.1,1
삿포로,2013,3,8,봄,다소흐림,1.4,3.3,7.5
삿포로,2013,3,9,봄,눈,-5.4,6.7,13.5
삿포로,2013,3,10,봄,눈,-4,6.2,9.5
삿포로,2013,3,11,봄,눈,-3.7,4,4
삿포로,2013,3,12,봄,비,2.7,2.8,0
삿포로,2013,3,13,봄,비,2,4.5,10
삿포로,2013,3,14,봄,눈,-3.2,4.6,1
삿포로,2013,3,15,봄,맑음,1.5,3.4,0
삿포로,2013,3,16,봄,눈,-0.8,4.9,5.5
삿포로,2013,3,17,봄,맑음,0.8,4.2,0
삿포로,2013,3,18,봄,비,4.8,4.8,3
삿포로,2013,3,19,봄,쾌청,3.4,3.6,0
삿포로,2013,3,20,봄,눈,-0.4,3.9,11.5
삿포로,2013,3,21,봄,눈,-4,5.5,7
삿포로,2013,3,22,봄,비,-0.1,4.1,2.5
삿포로,2013,3,23,봄,눈,-1.7,3.5,0.5
삿포로,2013,3,24,봄,맑음,0.1,2.4,0
삿포로,2013,3,25,봄,맑음,-0.1,1.9,0
삿포로,2013,3,26,봄,눈,0.4,3.3,0.5
삿포로,2013,3,27,봄,맑음,2.8,5.3,0
삿포로,2013,3,28,봄,흐림,4.6,4,0
삿포로,2013,3,29,봄,맑음,2.4,2.4,0
삿포로,2013,3,30,봄,흐림,1,2.8,0
삿포로,2013,3,31,봄,흐림,1.3,2.3,0
삿포로,2013,4,1,봄,맑음,3.2,3.2,0
삿포로,2013,4,2,봄,흐림,5.2,2.7,0
삿포로,2013,4,3,봄,비,6.9,3.8,0.5
삿포로,2013,4,4,봄,쾌청,5.9,4,0
삿포로,2013,4,5,봄,맑음,4.6,2.1,0
삿포로,2013,4,6,봄,흐림,7.4,6.7,1.5
삿포로,2013,4,7,봄,비,9.3,5.4,59.5
삿포로,2013,4,8,봄,비,5.3,7.9,2
삿포로,2013,4,9,봄,흐림,5.4,5.5,2.5
삿포로,2013,4,10,봄,비,4.8,3.3,1
삿포로,2013,4,11,봄,흐림,4.5,3.1,1
삿포로,2013,4,12,봄,비,3.1,2.7,4.5
삿포로,2013,4,13,봄,흐림,6.4,2.8,0.5
